municipality,population
River De Chute,0
100 Mile House,1980
10th Line Shore,0
141 Mile House,0
Fort St. James,1386
70 Mile House,0
93 Mile,0
Abana,0
Abbey,0
Abbeydale,0
Abbotsford,141397
Abbott's Corner,0
Abee,0
Aberarder,0
Abercorn,0
Abercrombie,0
Aberdeen,0
Aberdeen,0
Aberdeen,0
Aberdeen,0
Aberdeen,0
Aberfeldy,0
Aberfoyle,0
Abernethy,0
Abingdon,0
Abitibi,0
Abrams River,0
Abram-Village,0
Acaciaville,0
Academy,0
Acadia Valley,0
Acadieville,0
Acamac,0
Achill,0
Acme,0
Actinolite,0
Acton,0
Acton,9377
Actons Corners,0
Acton Vale,7656
Adams Lake,0
Adamsville,0
Adamsville,0
Adamsville,0
Adanac,0
Adanac,0
Adanac,0
Addington Forks,0
Adelaide,0
Adelaide Park,0
Adeytown,0
Admaston,0
Admiral,0
Admiral Rock,0
Admiral's Beach,0
Adolphustown,0
Adstock,2643
Advance,0
Advocate Harbour,0
Aetna,0
Afton,0
Afton,0
Agassiz,6300
Agawa Bay,0
Agerton,0
Agincourt,0
Aguanish,245
Ahmic Lake,0
Ailsa Craig,0
Ainslie Glen,0
Ainsworth Hot Springs,0
Airdrie,24673
Air Ronge,0
Airy,0
Ajax,119677
Akinsdale,0
Aklavik,590
Akulivik,0
Alameda,0
Alba,0
Albanel,1087
Albany,0
Alberni,0
Albert,0
Albert,0
Alberta Beach,0
Albert Bridge,0
Albert Canyon,0
Albert Head,0
Albert Mines,0
Albert Mines,0
Alberton,1147
Alberton,0
Albert Park,0
Albert Park South,0
Albertville,0
Albion,0
Albion Falls,0
Albro Lake,0
Albuna,0
Albury,0
Alcona,0
Alcove,0
Alder,0
Alderdale,0
Alder Flats,0
Aldergrove,0
Alder Point,0
Alder River,0
Aldershot,0
Aldershot,0
Aldersville,0
Aldersyde,0
Aldouane,895
Aldred's Beach,0
Alert Bay,449
Alexander,0
Alexander Bay,0
Alexandra,0
Alexandria,2906
Alexandria,0
Alexandrina,0
Alexis Creek,0
Aleza Lake,0
Alfred,0
Algoma Mills,0
Algonquin Park,0
Algrove,0
Alhambra,0
Alice,0
Alice Beach,0
Alida,0
Alix,774
Allains Creek,0
Allan,0
Allan,0
Allandale,0
Allan Mills,0
Allan Park,0
Allan's Corners,0
Allans Corners,0
Allanwater Bridge,0
Allendale,0
Allenford,0
Allen Heights,0
Allensville,0
Allenwood,0
Allenwood Beach,0
Alleyn-et-Cawood,0
Alliance,0
Alliford Bay,0
Allison,0
Allisonville,0
Alliston,18809
Alloa,0
Allsaw,0
Alma,0
Alma,0
Alma,29526
Alma,0
Almira,0
Almond Gardens,0
Alonsa,0
Alpen,0
Alpena,0
Alpine Meadows,0
Alpine Village,0
Alpine Village,0
Alport,0
Alsace,0
Alsask,0
Alsfeldt,0
Alsops Beach,0
Alstonvale,0
Altario,0
Alta Vista,0
Althorpe,0
Alticane,0
Alton,0
Alton,0
Altona,0
Altona,4212
Altona,0
Alvanley,0
Alvena,0
Alvinston,0
Amaranth,0
Amaranth Station,0
Amazon,0
Ambleside,0
Amesdale,0
Amethyst Harbour,0
Amherst,9413
Amherstburg,13910
Amherst Head,0
Amherst Point,0
Amherst Pointe,0
Amherst Shore,0
Amherstview,0
Amigari Downs,0
Amigo Beach,1545
Amiraults Hill,0
Amisk,0
Ammon,0
Amos,17918
Amulet,0
Amulet,0
Amulree,0
Amyot,0
Anagance,0
Anagance Ridge,0
Ancaster,0
Ancaster Heights,0
Anchor Point,0
Ancona Point,0
Anderson,0
Anderson,0
Anderson Lake,0
Anderson Mountain,0
Anderson Settlement,0
Andersonville,0
Andrew,0
Andrewsville,0
Anerley,0
Aneroid,0
Ange-Gardien,2420
Angers,0
Anglia,0
Angliers,0
Anjou,0
Annable Settlement,0
Annaheim,0
Annandale-Little Pond-Howe Bay,0
Annapolis Royal,0
Annidale,0
Anniedale,0
Annis,0
Anoma Lea,0
Anson,0
Ansonia,0
Ansonville,0
Anten Mills,800
Anthony,0
Anthonys Cove,0
Antigonish,5003
Antigonish Harbour,0
Antigonish Landing,0
Antler,0
Antrim,0
Anzac,0
Apex,0
Apohaqui,0
Apollo,0
Appelo,0
Appin,0
Appleby,0
Appledale,0
Appledore,0
Applegrove,0
Apple River,0
Appleton,620
Applewood Acres,0
Applewood Acres,0
Apsley,0
Apto,0
Aquadeo,0
Aquaforte,0
Arbeatha Park,0
Arbeau Settlement,0
Arborfield,0
Arborg,0
Arbor Vitae,0
Arbuthnot,0
Arcadia,0
Archer,0
Archerwill,0
Archive,0
Arcola,0
Ardath,0
Ardbeg,0
